Module,Subsection,Route,Page Type,In Sidebar,Depth,File Path
Logistics,Driver Master,/logistics/driver-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\driver-master\page.tsx
Logistics,Freight Master,/logistics/freight-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\freight-master\page.tsx
Logistics,Packaging Master,/logistics/packaging-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\packaging-master\page.tsx
Logistics,Port Master,/logistics/port-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\port-master\page.tsx
Logistics,Route Master,/logistics/route-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\route-master\page.tsx
Logistics,Shipping,/logistics/shipping,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\shipping\page.tsx
Logistics,Shipping,/logistics/shipping/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\shipping\add\page.tsx
Logistics,Shipping,/logistics/shipping/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\shipping\edit\[id]\page.tsx
Logistics,Shipping,/logistics/shipping/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\shipping\view\[id]\page.tsx
Logistics,Tracking,/logistics/tracking,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\tracking\page.tsx
Logistics,Tracking,/logistics/tracking/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\tracking\view\[id]\page.tsx
Logistics,Transporter Master,/logistics/transporter-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\transporter-master\page.tsx
Logistics,Vehicle Master,/logistics/vehicle-master,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\logistics\vehicle-master\page.tsx
Procurement,Analytics,/procurement/analytics,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\analytics\page.tsx
Procurement,Approvals,/procurement/approvals,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\approvals\page.tsx
Procurement,Automation,/procurement/automation,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\automation\page.tsx
Procurement,Budget,/procurement/budget,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\budget\page.tsx
Procurement,Budget Tracking,/procurement/budget-tracking,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\budget-tracking\page.tsx
Procurement,Calendar,/procurement/calendar,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\calendar\page.tsx
Procurement,Category Management,/procurement/category-management,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\category-management\page.tsx
Procurement,Collaboration,/procurement/collaboration,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\collaboration\page.tsx
Procurement,Compliance,/procurement/compliance,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\compliance\page.tsx
Procurement,Contract Management,/procurement/contract-management,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\contract-management\page.tsx
Procurement,Contracts,/procurement/contracts,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\contracts\page.tsx
Procurement,Dashboard,/procurement,dashboard,Yes,1,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\page.tsx
Procurement,E Marketplace,/procurement/e-marketplace,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\e-marketplace\page.tsx
Procurement,Grn,/procurement/grn,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\grn\page.tsx
Procurement,Grn,/procurement/grn/:id/inspect,feature,Yes,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\grn\[id]\inspect\page.tsx
Procurement,Grn,/procurement/grn/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\grn\add\page.tsx
Procurement,Grn,/procurement/grn/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\grn\edit\[id]\page.tsx
Procurement,Grn,/procurement/grn/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\grn\view\[id]\page.tsx
Procurement,Invoices,/procurement/invoices,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\invoices\page.tsx
Procurement,Notifications,/procurement/notifications,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\notifications\page.tsx
Procurement,Orders,/procurement/orders/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\orders\add\page.tsx
Procurement,Orders,/procurement/orders/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\orders\edit\[id]\page.tsx
Procurement,Orders,/procurement/orders/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\orders\view\[id]\page.tsx
Procurement,Po,/procurement/po,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\po\page.tsx
Procurement,Purchase Orders,/procurement/purchase-orders,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\purchase-orders\page.tsx
Procurement,Purchase Orders,/procurement/purchase-orders/create,feature,Yes,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\purchase-orders\create\page.tsx
Procurement,Purchase Requisition,/procurement/purchase-requisition,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\purchase-requisition\page.tsx
Procurement,Quality Assurance,/procurement/quality-assurance,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\quality-assurance\page.tsx
Procurement,Requisitions,/procurement/requisitions,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\requisitions\page.tsx
Procurement,Requisitions,/procurement/requisitions/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\requisitions\add\page.tsx
Procurement,Requisitions,/procurement/requisitions/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\requisitions\edit\[id]\page.tsx
Procurement,Requisitions,/procurement/requisitions/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\requisitions\view\[id]\page.tsx
Procurement,Rfq,/procurement/rfq,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\rfq\page.tsx
Procurement,Rfq,/procurement/rfq/:id/compare,feature,Yes,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\rfq\[id]\compare\page.tsx
Procurement,Rfq Rfp,/procurement/rfq-rfp,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\rfq-rfp\page.tsx
Procurement,Risk Management,/procurement/risk-management,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\risk-management\page.tsx
Procurement,Savings Tracker,/procurement/savings-tracker,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\savings-tracker\page.tsx
Procurement,Spend Analysis,/procurement/spend-analysis,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\spend-analysis\page.tsx
Procurement,Strategic Sourcing,/procurement/strategic-sourcing,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\strategic-sourcing\page.tsx
Procurement,Supplier Diversity,/procurement/supplier-diversity,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\supplier-diversity\page.tsx
Procurement,Supplier Onboarding,/procurement/supplier-onboarding,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\supplier-onboarding\page.tsx
Procurement,Supplier Portal,/procurement/supplier-portal,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\supplier-portal\page.tsx
Procurement,Supplier Relationship,/procurement/supplier-relationship,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\supplier-relationship\page.tsx
Procurement,Supplier Scorecard,/procurement/supplier-scorecard,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\supplier-scorecard\page.tsx
Procurement,Vendor Management,/procurement/vendor-management,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendor-management\page.tsx
Procurement,Vendor Performance,/procurement/vendor-performance,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendor-performance\page.tsx
Procurement,Vendors,/procurement/vendors,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendors\page.tsx
Procurement,Vendors,/procurement/vendors/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendors\add\page.tsx
Procurement,Vendors,/procurement/vendors/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendors\edit\[id]\page.tsx
Procurement,Vendors,/procurement/vendors/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\procurement\vendors\view\[id]\page.tsx
Production,Analytics,/production/analytics,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\analytics\page.tsx
Production,Bom,/production/bom/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\bom\add\page.tsx
Production,Bom,/production/bom/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\bom\edit\[id]\page.tsx
Production,Bom,/production/bom/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\bom\view\[id]\page.tsx
Production,Capacity Planning,/production/capacity-planning,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\capacity-planning\page.tsx
Production,Dashboard,/production,dashboard,Yes,1,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\page.tsx
Production,Floor,/production/floor,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\floor\page.tsx
Production,Floor,/production/floor/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\floor\edit\[id]\page.tsx
Production,Floor,/production/floor/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\floor\view\[id]\page.tsx
Production,Mrp,/production/mrp,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\mrp\page.tsx
Production,Planning,/production/planning,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\planning\page.tsx
Production,Ppg,/production/ppg,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\ppg\page.tsx
Production,Quality,/production/quality,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\quality\page.tsx
Production,Quality,/production/quality/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\quality\add\page.tsx
Production,Quality,/production/quality/edit/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\quality\edit\[id]\page.tsx
Production,Quality,/production/quality/view/:id,detail,No,4,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\quality\view\[id]\page.tsx
Production,Scheduling,/production/scheduling,list,Yes,2,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\scheduling\page.tsx
Production,Scheduling,/production/scheduling/add,create,No,3,D:\KreupAI\ManufacturingOS-1\b3-erp\frontend\src\app\(modules)\production\scheduling\add\page.tsx
